Days,Date,Total BTC,Market Cap,Count,Blocks last 24h,Blocks avg. per hour,Difficulty,Next Difficulty,Network Hashrate Terahashs,Network Hashrate PetaFLOPS,Price,Open,High,Low,Vol.,Change %
1,2013-08-26,11608775,1406983298,254350,165,6.88,65750060,68498336,490.33,6227.19,120.1,122.1,123,119.9,11440,-1.67
2,2013-08-27,11612775,1504095211,254510,171,7.13,65750060,70053502,501.46,6368.57,131.3,120.1,133,120,53850,9.34
3,2013-08-28,11617025,1342254303,254680,170,7.08,65750060,70879556,507.38,6443.67,128.8,131.3,131.7,128,12560,-1.93
4,2013-08-29,11621875,1381724719,254874,194,8.08,65750060,72700400,520.41,6609.2,129.3,128.8,131.2,128.2,8220,0.42
5,2013-08-30,11626775,1391724968,255070,196,8.17,65750060,75286537,538.92,6844.31,138,129.3,142.8,128.6,46070,6.75
6,2013-08-31,11632150,1508573534,255285,215,8.96,65750060,78431661,561.44,7130.23,141,138,148.7,135.9,31150,2.15
7,2013-09-01,11637700,1687466500,255507,222,9.25,65750060,81658228,584.53,7423.56,146,141,147.3,141,14100,3.55
8,2013-09-02,11643525,1526116822,255740,233,9.71,65750060,84363145,603.89,7669.47,144,146,148.5,142.1,10650,-1.38
9,2013-09-03,11647975,1696088547,255918,178,7.42,65750060,85473739,611.84,7770.43,144,144,148.9,142.2,17000,0
10,2013-09-04,11652675,1414634745,256106,188,7.83,86933018,88094346,630.6,8008.67,132.5,144,145.8,130.1,28750,-7.98
11,2013-09-05,11656725,1454759280,256268,162,6.75,86933018,90544632,648.14,8231.43,130.2,132.5,138,127.2,27030,-1.74
12,2013-09-06,11661550,1534426749,256461,193,8.04,86933018,94587587,677.08,8598.97,121.9,130.2,134,121.9,19170,-6.37
13,2013-09-07,11665450,1374073356,256617,156,6.5,86933018,96160124,688.34,8741.93,129,121.9,131,121.3,14190,5.82
14,2013-09-08,11669225,1475682959,256768,151,6.29,86933018,96990613,694.29,8817.43,126.3,129,129.9,124.1,7350,-2.07
15,2013-09-09,11674025,1568405375,256960,192,8,86933018,99804941,714.43,9073.28,133.1,126.3,137.5,124,29690,5.37
16,2013-09-10,11678725,1412985580,257148,188,7.83,86933018,101458738,726.27,9223.63,132.6,133.1,136,131.4,8880,-0.36
17,2013-09-11,11683600,1602990154,257343,195,8.13,86933018,103077235,737.86,9370.77,142.1,132.6,145.9,127.5,41560,7.15
18,2013-09-12,11688900,1637965557,257555,212,8.83,86933018,105522280,755.36,9593.05,139.4,142.1,145.5,137.5,20530,-1.94
19,2013-09-13,11694075,1453058983,257762,207,8.63,86933018,107221491,767.52,9747.52,140.7,139.4,145.6,137.8,20120,0.94
20,2013-09-14,11699450,1453071690,257977,215,8.96,86933018,111728444,799.78,10157.25,136.7,140.7,142,136.5,8900,-2.81
21,2013-09-15,11704250,1474735500,258169,192,8,112628549,116116704,831.2,10556.19,138.3,136.7,141,135,6440,1.16
22,2013-09-16,11708625,1622112908,258344,175,7.29,112628549,118865893,850.88,10806.12,139.4,138.3,142.2,137.9,10610,0.81
23,2013-09-17,11712925,1455389496,258516,172,7.17,112628549,121022360,866.31,11002.16,139.1,139.4,141.4,138,9640,-0.19
24,2013-09-18,11716575,1463177603,258662,146,6.08,112628549,122839164,879.32,11167.33,140.4,139.1,142,139,9490,0.91
25,2013-09-19,11721525,1453586315,258860,198,8.25,112628549,128867669,922.47,11715.38,135.1,140.4,141.2,131.1,21020,-3.82
26,2013-09-20,11726100,1421895160,259043,183,7.63,112628549,131103455,938.48,11918.63,133.8,135.1,137.3,131,11050,-0.92
27,2013-09-21,11730725,1428333076,259228,185,7.71,112628549,133592873,956.3,12144.95,134.4,133.8,136,132,5090,0.43
28,2013-09-22,11735975,1423256896,259438,210,8.75,112628549,137754243,986.08,12523.26,134,134.4,135,131,5890,-0.28
29,2013-09-23,11741650,1425365860,259665,227,9.46,112628549,142426165,1019.53,12947.98,133.4,134,135,132,6000,-0.45
30,2013-09-24,11746700,1444726633,259867,202,8.42,112628549,145917383,1044.52,13265.37,134.8,133.4,136.6,132.5,8580,1.03
31,2013-09-25,11752050,1442998963,260081,214,8.92,148819200,149576042,1070.71,13597.98,135,134.8,138,134.7,9520,0.16
32,2013-09-26,11756375,1463668688,260254,170,7.08,148819200,152380973,1090.79,13852.98,137.1,135,139,134.7,6540,1.56
33,2013-09-27,11757600,1442810369,260303,162,6.75,148819200,153363745,1097.82,13942.32,138.9,137.1,142.7,134.8,27140,1.33
34,2013-09-28,11764875,1451538513,260594,167,6.96,148819200,162140247,1160.65,14740.19,142.5,138.9,143,138,13660,2.57
35,2013-09-29,11769175,1507042859,260766,173,7.21,148819200,166487141,1191.76,15135.37,143.9,142.5,145.8,141.4,18100,0.97
